PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-10 bar (mol/kg)
18.67204,18.83659,1512.76001,0.6517,5.23E-07,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.509599888
8.40704,8.94082,1003.71002,0.5054,2.90E-07,57.14285714,28.57142857,14.28571429,0,0,0,0,0.279191058
10.55911,10.99477,1251.15002,0.55296,3.11E-07,60,30,10,0,0,0,0,0.302829266
6.02454,6.73973,1045.28003,0.52031,3.55E-07,50,25,25,0,0,0,0,0.338454119
21.99696,22.25586,1738.93994,0.7308,6.16E-07,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.592135832
14.85301,15.16228,1491.92004,0.64361,4.40E-07,50,25,8.333333333,16.66666667,0,0,0,0.434681957
15.82205,16.14031,1643.07996,0.65932,4.82E-07,50,33.33333333,8.333333333,8.333333333,0,0,0,0.470418703
19.13906,19.38998,1646.42004,0.70693,5.62E-07,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.53661217
21.82039,21.8886,875.01703,0.64564,6.27E-07,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.609423359
21.37782,30.82595,6945.16016,0.93253,3.22E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,3.187783911
29.18206,29.3658,1965.17004,0.76261,7.07E-07,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.697156767
34.20807,34.38021,2126.71997,0.79858,8.09E-07,65,20,0,10,5,0,0,0.797501461
30.33059,30.47384,1944.23999,0.78613,9.70E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.945778794
28.39359,28.54899,997.479,0.7137,8.33E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.822226101
29.45341,29.61307,2212.42993,0.78412,8.42E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.835774615
19.00554,19.13609,1811.78003,0.71373,6.26E-07,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.60389723
17.50946,17.74283,1771.46997,0.70636,5.95E-07,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.576895142
17.39891,18.46826,4381.72021,0.82309,1.41E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,1.334202365
28.79472,28.86274,936.651,0.71451,7.89E-07,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.777975396
14.17588,16.11614,7239.43018,0.89917,2.28E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,2.211361359
14.1657,16.1092,6601.52979,0.89554,2.07E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,2.029928581
14.61452,15.22205,2336.6001,0.72,5.93E-07,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.584622454
16.38605,16.51747,1842.12,0.67382,5.26E-07,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.512408583
25.51861,25.62212,1972.40002,0.74221,7.10E-07,50,41.56626506,4.21686747,4.21686747,0,0,0,0.691502739
24.38007,24.50352,1920.18005,0.73422,6.84E-07,50,40.36144578,4.21686747,5.421686747,0,0,0,0.667517091
23.23815,23.3108,1885.54004,0.73129,6.72E-07,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.661482021
23.96858,24.14078,1841.44995,0.72704,6.54E-07,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.641295407
20.81746,20.94701,1448.55005,0.68025,5.12E-07,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.502706474
19.26829,19.35467,1469.69995,0.6743,4.79E-07,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.46981751
4.91947,5.5683,631.85797,0.46478,2.21E-07,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.211613961
39.68396,39.9305,2637.72998,0.79808,9.28E-07,56.66666667,40,3.333333333,0,0,0,0,0.899384385
17.39813,17.54485,1510.25,0.6812,5.13E-07,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.498946499
43.78149,43.89693,1841.88,0.82443,9.77E-07,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.950960116
44.50286,44.62077,1887.98999,0.83009,1.03E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,1.001046658
10.03478,10.55424,1336.09998,0.58091,2.91E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.283556043
10.03478,10.55424,1489.54004,0.58536,3.14E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.308772837
10.03478,10.55424,1594.46997,0.59539,3.16E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.308885905
10.03477,10.55423,1194.60999,0.57493,2.62E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.255224265
27.14794,27.41477,2555.88989,0.80083,9.21E-07,50,40,5,5,0,0,0,0.901521752
31.82555,31.90137,2335.69995,0.76263,9.76E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.946905036
32.86681,33.03455,2720.17993,0.78805,9.80E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.966064684
16.93789,17.22858,1127.60999,0.64756,3.47E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.341018131
19.33353,19.49908,2090.81006,0.71981,6.65E-07,57.57575758,36.36363636,6.060606061,0,0,0,0,0.647496358
24.69607,24.82011,2025.39001,0.77125,8.23E-07,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.817318784
11.7271,12.13815,1159.67004,0.5796,2.50E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.244707501
11.85435,12.27828,1228.58997,0.58361,2.78E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.27257098
19.22142,20.2581,4417.16016,0.83159,5.91E-07,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.575845234
9.11507,9.87639,1733.82996,0.62708,4.14E-07,57.14285714,33.33333333,9.523809524,0,0,0,0,0.403582644
11.06228,11.3751,1692.01001,0.61999,4.29E-07,57.79816514,35.77981651,6.422018349,0,0,0,0,0.416515478
10.72674,11.02482,1514.69995,0.58655,3.75E-07,62.96296296,33.33333333,3.703703704,0,0,0,0,0.363295403
14.44897,15.66519,4133.66016,0.80334,1.27E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,1.236144942
41.05191,41.18296,2277.42993,0.83019,1.17E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,1.153295372
9.37565,10.89243,4926.83984,0.79181,1.24E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,1.163268159
5.94566,7.11918,2071.25,0.61417,3.74E-07,57.89473684,36.84210526,5.263157895,0,0,0,0,0.36246754
14.43667,14.78901,2002.96997,0.67089,5.29E-07,53.57142857,35.71428571,10.71428571,0,0,0,0,0.515568802
16.83791,17.15189,2429.28003,0.7208,6.52E-07,56.66666667,33.33333333,10,0,0,0,0,0.636617813
15.00043,15.20734,2146.33008,0.70036,5.24E-07,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.510705131
19.77265,22.16294,7074.95996,0.90228,2.16E-06,56.25,25,12.5,6.25,0,0,0,2.06977904
9.18961,9.80273,1760.02002,0.61887,3.49E-07,40,25,25,10,0,0,0,0.341554907
20.79435,21.19984,3865.05005,0.83165,1.44E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,1.423453709
16.15375,16.51787,1693.45996,0.66858,5.40E-07,59.57446809,36.17021277,4.255319149,0,0,0,0,0.526540731
