PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-1bar (mol/kg)
14.56137,14.80414,1601.61,0.65458,7.49E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.758682205
10.9469,11.39779,1390.45,0.58732,1.14E-05,55,35,5,5,0,0,0,1.186517162
7.16556,9.34656,4266.05,0.7499,2.24E-04,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,6.662764719
18.84768,19.35841,2221.59,0.75284,2.04E-05,56.25,31.25,3.125,0,0,9.375,0,1.837001249
18.58985,19.00793,1891.19,0.72758,2.04E-05,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,1.835249616
31.34049,31.52027,1938.68,0.7794,6.48E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,0.665423317
8.50466,9.68318,5308.23,0.79852,1.66E-05,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,1.836476911
19.05082,27.47264,6351.38,0.9169,1.06E-05,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,1.085201933
24.20917,24.5783,2109.22,0.73274,1.27E-05,56.75675676,32.43243243,0,10.81081081,0,0,0,1.322399552
7.6513,8.38327,513.384,0.53882,1.96E-06,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.207414963
37.54961,37.74057,2647.6,0.83454,4.94E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.512675454
34.3979,34.55962,2449.5,0.82182,5.80E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,0.588309033
55.44839,55.49799,2371.05,0.86226,5.77E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,0.591492547
9.79296,10.47702,1277.65,0.58932,2.33E-06,43.75,37.5,0,12.5,6.25,0,0,0.239006219
12.22497,12.7233,1965.68,0.6377,1.02E-05,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.950565663
13.70357,14.0752,1601.26,0.63478,1.70E-05,50,20,0,20,10,0,0,1.59810981
27.14113,34.56119,7623.71,0.90746,1.11E-05,57.63546798,38.42364532,3.9408867,0,0,0,0,1.103861299
5.40897,9.86824,4214.86,0.72396,2.22E-05,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,2.179362083
9.26179,9.35855,3254.74,0.72776,3.46E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,2.909251655
4.33795,4.58342,399.366,0.46242,4.40E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,1.688507985
8.87996,8.97856,1869.59,0.62822,2.96E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,3.833648587
4.09217,4.35137,258.579,0.43584,7.43E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,1.761085516
12.74558,13.0458,1134.58,0.5562,3.03E-05,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,1.997024119
12.78481,13.08945,1111.54,0.59634,3.11E-05,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,2.809393799
8.28768,8.45131,1791.81,0.62786,4.71E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.491467797
18.69066,20.45335,3980.38,0.81322,1.77E-04,56.60377358,35.8490566,7.547169811,0,0,0,0,2.782095843
30.82882,31.00347,2234.24,0.78856,8.07E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.785559531
23.14657,23.37377,2027.01,0.74468,9.09E-06,50,37.5,6.25,6.25,0,0,0,0.852668408
