PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
13.70357,14.0752,1601.26,0.63478,2.39E-06,50,20,0,20,10,0,0,1.930850897
27.14113,34.56119,7623.71,0.90746,4.36E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,4.183156919
5.40897,9.86824,4214.86,0.72396,3.88E-06,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,3.178719195
9.26179,9.35855,3254.74,0.72776,3.28E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,2.760980746
4.33795,4.58342,399.366,0.46242,3.05E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,1.481209411
8.87996,8.97856,1869.59,0.62822,4.15E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,3.175488484
4.09217,4.35137,258.579,0.43584,3.35E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,1.520577445
12.74558,13.0458,1134.58,0.5562,2.94E-06,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,1.823083351
12.78481,13.08945,1111.54,0.59634,2.96E-06,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,2.036669978
8.28768,8.45131,1791.81,0.62786,1.28E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,1.120087055
18.69066,20.45335,3980.38,0.81322,6.75E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,3.657287668
30.82882,31.00347,2234.24,0.78856,1.94E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,1.805778231
23.14657,23.37377,2027.01,0.74468,1.80E-06,50,37.5,6.25,6.25,0,0,0,1.626414974
16.8085,17.19339,2642.36,0.72696,2.08E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,1.773511159
32.26851,32.49748,2597.35,0.82036,1.71E-06,46.875,40.625,6.25,6.25,0,0,0,1.617472341
21.98706,22.24941,1742.73,0.7308,1.87E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,1.633236022
23.64538,23.86875,1697.67,0.72312,1.78E-06,56.25,25,0,12.5,6.25,0,0,1.596151387
8.56216,9.14896,1114.65,0.53162,2.61E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,1.928506884
24.14836,24.38426,1743.58,0.73324,1.77E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,1.579556666
16.21639,16.54198,1595.7,0.65038,1.59E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,1.407649901
17.28794,17.6262,1612.52,0.67756,3.02E-06,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,2.234382266
25.30476,25.68704,2252.6,0.7401,2.37E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,2.016905481
18.04318,18.33921,2142.94,0.68034,1.18E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,1.089912258
25.21035,25.45912,2597.93,0.79384,1.72E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,1.614506004
10.98125,12.52501,5102.7,0.75934,5.48E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,4.164302038
10.12633,11.59954,3831.24,0.71288,4.22E-06,55.55555556,37.5,6.944444444,0,0,0,0,3.143388911
31.98616,32.11213,2477.4,0.77316,2.30E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,2.038150159
21.24887,21.39035,1375.09,0.62376,1.43E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,1.209409396
16.83337,17.12286,2390.91,0.70752,1.69E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,1.513264999
24.86871,25.35566,3444.92,0.8318,2.40E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,2.246395694
9.65747,11.09613,2283.27,0.67046,1.53E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,1.380545939
14.64627,14.87352,2607.7,0.72348,2.03E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,1.778839758
26.94167,27.1243,1677.46,0.75146,1.56E-06,55,25,10,0,0,10,0,1.437029044
