PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-5 bar (mol/kg)
10.9469,11.39779,1390.45,0.58732,1.83E-06,55,35,5,5,0,0,0,0.857152999
7.16556,9.34656,4266.05,0.7499,9.92E-06,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,3.447680174
18.84768,19.35841,2221.59,0.75284,1.71E-06,56.25,31.25,3.125,0,0,9.375,0,0.831229779
18.58985,19.00793,1891.19,0.72758,1.34E-06,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,0.658089006
31.34049,31.52027,1938.68,0.7794,1.88E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,0.911252494
8.50466,9.68318,5308.23,0.79852,3.61E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,1.784435265
19.05082,27.47264,6351.38,0.9169,4.58E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,2.278129275
24.20917,24.5783,2109.22,0.73274,2.33E-06,56.75675676,32.43243243,0,10.81081081,0,0,0,1.121971631
7.6513,8.38327,513.384,0.53882,5.54E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.271086646
37.54961,37.74057,2647.6,0.83454,2.24E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,1.111490422
34.3979,34.55962,2449.5,0.82182,2.14E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,1.048595416
55.44839,55.49799,2371.05,0.86226,2.50E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,1.197521905
9.79296,10.47702,1277.65,0.58932,6.82E-07,43.75,37.5,0,12.5,6.25,0,0,0.332691785
12.22497,12.7233,1965.68,0.6377,1.81E-06,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.854629049
13.70357,14.0752,1601.26,0.63478,2.38E-06,50,20,0,20,10,0,0,1.078008463
27.14113,34.56119,7623.71,0.90746,4.55E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,2.230532588
5.40897,9.86824,4214.86,0.72396,3.97E-06,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,1.850020144
9.26179,9.35855,3254.74,0.72776,4.16E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,1.886457667
4.33795,4.58342,399.366,0.46242,3.53E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,1.131285028
8.87996,8.97856,1869.59,0.62822,4.24E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,1.935394057
4.09217,4.35137,258.579,0.43584,4.59E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,1.305856384
12.74558,13.0458,1134.58,0.5562,3.07E-06,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,1.184602494
12.78481,13.08945,1111.54,0.59634,2.95E-06,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,1.248499035
8.28768,8.45131,1791.81,0.62786,1.36E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.660693222
18.69066,20.45335,3980.38,0.81322,7.41E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,2.396370414
30.82882,31.00347,2234.24,0.78856,1.92E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.942869476
23.14657,23.37377,2027.01,0.74468,1.79E-06,50,37.5,6.25,6.25,0,0,0,0.849594009
16.8085,17.19339,2642.36,0.72696,2.13E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.976866738
32.26851,32.49748,2597.35,0.82036,1.73E-06,46.875,40.625,6.25,6.25,0,0,0,0.852748925
21.98706,22.24941,1742.73,0.7308,1.84E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.859578126
23.64538,23.86875,1697.67,0.72312,1.76E-06,56.25,25,0,12.5,6.25,0,0,0.822684516
8.56216,9.14896,1114.65,0.53162,2.44E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,1.084007813
24.14836,24.38426,1743.58,0.73324,1.76E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.855803769
16.21639,16.54198,1595.7,0.65038,1.57E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.754834268
17.28794,17.6262,1612.52,0.67756,3.02E-06,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,1.324852437
25.30476,25.68704,2252.6,0.7401,2.60E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,1.210297786
18.04318,18.33921,2142.94,0.68034,1.18E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,0.568145968
25.21035,25.45912,2597.93,0.79384,1.72E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.828727533
10.98125,12.52501,5102.7,0.75934,5.89E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,2.558847116
10.12633,11.59954,3831.24,0.71288,4.31E-06,55.55555556,37.5,6.944444444,0,0,0,0,1.862851433
31.98616,32.11213,2477.4,0.77316,2.35E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,1.130605635
21.24887,21.39035,1375.09,0.62376,1.46E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.705840473
16.83337,17.12286,2390.91,0.70752,1.70E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.82354418
24.86871,25.35566,3444.92,0.8318,2.62E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,1.29033912
9.65747,11.09613,2283.27,0.67046,1.69E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,0.814835756
14.64627,14.87352,2607.7,0.72348,2.09E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,0.990739629
26.94167,27.1243,1677.46,0.75146,1.49E-06,55,25,10,0,0,10,0,0.73028411
9.7242,10.56229,782.175,0.5707,9.97E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.452534386
23.89316,24.1474,2102,0.70558,2.05E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,0.964028399
16.82414,17.17805,1684.24,0.59818,1.74E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.781823012
9.74184,10.18081,1301.04,0.57538,1.65E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.769953386
13.58509,14.58188,2747.7,0.70796,1.90E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.889145635
21.34032,21.55177,1674.5,0.70852,1.44E-06,40,35,10,15,0,0,0,0.672067709
9.06841,9.51608,600.981,0.48302,8.32E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.396559943
15.60159,15.98839,2205.43,0.70816,1.60E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.784031413
8.40883,9.02368,482.236,0.52898,2.18E-06,37.5,46.875,6.25,6.25,0,0,3.125,0.912089043
10.67786,11.16226,1488.03,0.59456,1.46E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,0.690896407
35.49808,35.70981,2538.44,0.83738,2.15E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,1.062355981
11.24578,11.69348,1860.91,0.61976,1.54E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.725359198
17.10247,17.40167,927.31,0.52224,8.96E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.421088109
22.83776,23.86923,6014.09,0.8601,5.68E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,2.561657607
25.24971,25.75548,3913,0.84754,3.03E-06,54.375,36.875,5,0,0,0,3.75,1.461168674
23.81541,24.06097,1831.5,0.72056,1.34E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,0.654921061
32.05739,32.23268,1966.39,0.77422,1.55E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.768917464
16.88399,17.68947,4042.07,0.81256,2.62E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,1.283524047
38.02857,38.18266,2421.47,0.82272,1.96E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.968317269
38.73241,38.88744,2573.21,0.84332,2.23E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,1.096591557
37.56498,37.65744,3106.64,0.85454,2.45E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,1.213552425
26.35383,26.54457,2082.13,0.76606,1.54E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.758767171
25.82277,26.05323,2077.82,0.77472,2.00E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,0.928624192
38.80415,38.87485,2607.72,0.80212,2.48E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,1.161122641
12.63935,13.00429,1699.8,0.64652,1.48E-06,52,28,12,8,0,0,0,0.705373573
19.01338,19.17626,2119.45,0.73848,1.73E-06,47.5,35,10,7.5,0,0,0,0.839197798
27.09758,27.20545,2190.75,0.78752,1.86E-06,47.5,35,10,5,0,0,2.5,0.90652927
38.96494,39.10948,2611.01,0.83528,2.17E-06,54.16666667,37.5,8.333333333,0,0,0,0,1.076338998
25.97265,26.20447,2379.75,0.76662,1.92E-06,56,40,4,0,0,0,0,0.927021518
21.23186,21.48053,2260.29,0.773,1.68E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.832823601
23.07162,23.97144,5034.96,0.85508,9.49E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,2.974397435
10.6711,11.55953,1045.28,0.57244,2.58E-06,54.54545455,39.39393939,6.060606061,0,0,0,0,0.933586738
18.67205,18.83659,1507.46,0.65308,1.77E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.826727007
8.40705,8.94082,993.066,0.5077,1.83E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,0.807358804
10.55911,10.99477,1241.18,0.55678,1.24E-06,60,30,10,0,0,0,0,0.604990809
6.02452,6.73972,1007.55,0.52324,3.72E-06,50,25,25,0,0,0,0,1.31521394
21.99696,22.25586,1733.44,0.72906,1.84E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.864112336
14.85314,15.16267,1485.39,0.64318,1.54E-06,50,25,8.333333333,16.66666667,0,0,0,0.718797606
15.82205,16.14031,1634.8,0.66114,1.49E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.719113033
19.03653,19.28003,1547.81,0.69218,1.94E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.898919972
21.82001,22.09147,1891.18,0.73434,1.62E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.756765513
21.37753,30.82847,6958.99,0.93212,5.08E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,2.516452221
27.50721,27.70127,1782.77,0.74908,1.67E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.816560851
31.42483,31.59639,1787.64,0.7723,2.01E-06,65,20,0,10,5,0,0,0.987365818
30.33059,30.47384,1932.9,0.78676,3.17E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,1.508011648
28.94654,29.02379,2148.74,0.78628,1.63E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.809185147
29.44973,29.61979,2207.3,0.78594,1.68E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.820056102
19.00554,19.13609,1806.59,0.71216,1.88E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.87694452
17.50947,17.74285,1762.18,0.70666,2.08E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.956563747
17.39891,18.46813,4307.16,0.82422,9.24E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,2.972581397
28.83791,28.97733,2055.84,0.78488,1.48E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.727360993
14.17588,16.11614,7251.58,0.90082,4.02E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,2.004335237
14.1657,16.1092,6615.93,0.89698,3.71E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,1.834515117
14.61444,15.22203,2323.71,0.7196,1.68E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.790486038
16.38611,16.51752,1837.52,0.6725,1.79E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.82138053
25.51863,25.62215,1965.11,0.74186,1.75E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,0.845049783
24.38004,24.50349,1916.35,0.73354,1.77E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,0.840254252
23.23817,23.31082,1877.56,0.73106,1.71E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.82773643
23.9675,24.14077,1831.45,0.72804,1.56E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.755409174
20.81745,20.94699,1447.82,0.68052,1.28E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.624914715
19.26829,19.382,1464.14,0.67458,1.18E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.574584929
