PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal
18.23758,19.51184,6545.12,0.90338,1.98E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
29.39655,57.11253,6436.76,0.94234,3.20E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
13.27236,15.44186,5762.83,0.87904,1.52E-06,47.36842105,18.42105263,10.52631579,23.68421053,0,0,0
9.17119,16.38588,4638.15,0.80744,9.54E-07,47.36842105,18.42105263,10.52631579,23.68421053,0,0,0
14.14345,17.13113,6615.63,0.85528,1.52E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
18.34168,24.89515,6938.4,0.91606,2.44E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
21.42207,25.60161,6854.77,0.91984,2.55E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
9.08941,9.63335,4630.21,0.75724,9.47E-07,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
16.34216,18.75441,6116.7,0.8669,1.62E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
8.92054,13.68604,6410.19,0.83644,1.32E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
18.68261,19.80545,6924.28,0.90588,2.16E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
10.2493,13.74585,5217.12,0.80908,1.15E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
15.09288,16.16867,6659,0.88378,1.83E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
22.8613,27.11252,6829.12,0.91814,2.54E-06,55.55555556,33.33333333,2.777777778,8.333333333,0,0,0
13.9777,14.28965,4185.6,0.76176,9.89E-07,56.25,31.25,3.125,9.375,0,0,0
24.2998,52.66378,6813.77,0.9332,2.97E-06,56.25,31.25,3.125,9.375,0,0,0
17.70766,18.21674,5906.38,0.89684,1.79E-06,47.36842105,28.94736842,10.52631579,13.15789474,0,0,0
17.0027,21.53191,5632.5,0.8784,1.84E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
9.66414,10.67876,6353.11,0.81394,1.24E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
9.94367,15.64452,6336.82,0.83858,1.40E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
15.60408,17.45707,5279.42,0.79802,1.19E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
5.83513,9.7888,4856.4,0.743,1.01E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
19.40968,25.40269,5508.93,0.8599,1.61E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
11.80091,14.27859,5168.76,0.79076,1.14E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
14.62965,31.81709,6177.8,0.85872,1.57E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
4.08316,5.98687,519.662,0.54906,3.19E-07,56.52173913,39.13043478,0,4.347826087,0,0,0
16.35785,19.20265,6177.59,0.88786,1.95E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
18.42884,21.22764,6036.96,0.8886,1.97E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
8.40043,11.64109,5293.98,0.77904,1.06E-06,56.52173913,39.13043478,0,4.347826087,0,0,0
34.96255,40.74793,6763.26,0.94762,3.94E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
18.95856,21.32328,6622.47,0.89596,2.08E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
25.71358,35.62165,7202.23,0.9415,3.61E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
16.06483,17.47713,7250.58,0.91982,2.60E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
36.30542,42.19017,7099.79,0.94088,3.48E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
23.2905,25.52962,7093.37,0.93466,3.18E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
17.07849,20.7983,7211.09,0.89418,2.06E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
20.02968,20.48227,7134.25,0.92428,2.71E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
19.97443,20.29543,5212,0.844,1.44E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
30.10325,59.26399,7152.12,0.95264,4.26E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
25.54326,28.46049,7190.18,0.94336,3.62E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
18.65649,22.84705,6230.47,0.88596,1.89E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
29.5222,33.13434,7166.94,0.94278,3.67E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
15.96949,20.67979,7010.11,0.88696,1.93E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
25.92212,28.53266,7155.98,0.94098,3.54E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
15.87608,18.80719,6880.87,0.88032,1.87E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
24.65175,29.80506,7179.77,0.93342,3.17E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
14.01047,20.13022,7198.69,0.91164,2.45E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
12.44579,12.77209,6251.27,0.82322,1.32E-06,57.14285714,32.14285714,7.142857143,3.571428571,0,0,0
