PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-10 bar (mol/kg)
26.35383,26.54457,2082.13,0.76606,5.02E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,4.743108647
25.82277,26.05323,2077.82,0.77472,1.53E-05,50,33.33333333,11.11111111,5.555555556,0,0,0,8.954634289
38.80415,38.87485,2607.72,0.80212,7.90E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,8.33622936
12.63935,13.00429,1699.8,0.64652,8.79E-06,52,28,12,8,0,0,0,6.630905039
19.01338,19.17626,2119.45,0.73848,6.75E-06,47.5,35,10,7.5,0,0,0,6.820699493
27.09758,27.20545,2190.75,0.78752,6.08E-06,47.5,35,10,5,0,0,2.5,6.285223616
38.96494,39.10948,2611.01,0.83528,4.71E-06,54.16666667,37.5,8.333333333,0,0,0,0,5.100919029
25.97265,26.20447,2379.75,0.76662,5.61E-06,56,40,4,0,0,0,0,5.728574551
21.23186,21.48053,2260.29,0.773,4.48E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,4.600874695
23.07162,23.97144,5034.96,0.85508,2.85E-04,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,17.95875173
10.6711,11.55953,1045.28,0.57244,2.21E-05,54.54545455,39.39393939,6.060606061,0,0,0,0,3.951669623
18.67205,18.83659,1507.46,0.65308,7.98E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,9.737183503
8.40705,8.94082,993.066,0.5077,1.11E-05,57.14285714,28.57142857,14.28571429,0,0,0,0,5.107652965
10.55911,10.99477,1241.18,0.55678,4.61E-06,60,30,10,0,0,0,0,6.536153331
6.02452,6.73972,1007.55,0.52324,3.77E-05,50,25,25,0,0,0,0,4.612672111
21.99696,22.25586,1733.44,0.72906,1.44E-05,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,8.956471557
14.85314,15.16267,1485.39,0.64318,7.81E-06,50,25,8.333333333,16.66666667,0,0,0,8.745355266
15.82205,16.14031,1634.8,0.66114,8.87E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,8.465560047
19.03653,19.28003,1547.81,0.69218,9.72E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,8.145569745
21.82001,22.09147,1891.18,0.73434,8.63E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,6.437562236
21.37753,30.82847,6958.99,0.93212,1.05E-05,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,11.94975332
27.50721,27.70127,1782.77,0.74908,5.67E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,6.775713515
31.42483,31.59639,1787.64,0.7723,6.98E-06,65,20,0,10,5,0,0,7.989027954
30.33059,30.47384,1932.9,0.78676,1.78E-05,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,13.46526164
28.94654,29.02379,2148.74,0.78628,4.32E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,4.965675984
29.44973,29.61979,2207.3,0.78594,4.23E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,4.89012434
19.00554,19.13609,1806.59,0.71216,7.07E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,8.503008892
17.50947,17.74285,1762.18,0.70666,9.34E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,8.682108703
17.39891,18.46813,4307.16,0.82422,2.10E-04,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,17.83738537
28.83791,28.97733,2055.84,0.78488,3.53E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,4.043016686
14.17588,16.11614,7251.58,0.90082,1.00E-05,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,11.87244191
14.1657,16.1092,6615.93,0.89698,1.46E-05,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,16.69629324
14.61444,15.22203,2323.71,0.7196,5.45E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,5.526296188
16.38611,16.51752,1837.52,0.6725,7.50E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,6.196964495
25.51863,25.62215,1965.11,0.74186,5.48E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,5.243866595
24.38004,24.50349,1916.35,0.73354,6.23E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,5.147163654
23.23817,23.31082,1877.56,0.73106,5.59E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,5.2099501
23.9675,24.14077,1831.45,0.72804,4.66E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,4.730723537
20.81745,20.94699,1447.82,0.68052,4.02E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,4.112452279
19.26829,19.382,1464.14,0.67458,3.48E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,3.744251052
4.91947,5.5683,609.527,0.4658,3.03E-05,45.53571429,43.75,3.571428571,7.142857143,0,0,0,3.952182787
39.68397,39.9305,2621.58,0.79732,5.72E-06,56.66666667,40,3.333333333,0,0,0,0,5.813406831
17.39813,17.54485,1499.4,0.68054,9.47E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,7.335858796
42.80809,42.93816,1829.24,0.81612,7.28E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,6.693893385
43.28884,43.42187,1934.87,0.82484,7.08E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,6.736469308
10.03477,10.55423,1317.7,0.5808,1.34E-05,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,6.239707531
10.03477,10.55423,1467.28,0.58566,1.62E-05,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,7.150053708
10.03477,10.55423,1572.98,0.59568,2.50E-05,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,8.719722746
7.62148,7.93604,1293.92,0.56012,7.84E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,4.816990446
27.14804,27.41489,2545.35,0.80114,6.62E-06,50,40,5,5,0,0,0,6.75700089
31.82555,31.90137,2323.9,0.76406,2.28E-05,57.44680851,38.29787234,4.255319149,0,0,0,0,13.26308169
32.86681,33.03455,2711.04,0.78798,1.30E-05,57.44680851,38.29787234,4.255319149,0,0,0,0,10.46019312
