PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCH4 (mol/kg/Pa) ,%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CH4-10 bar (mol/kg)
9.18961,9.80273,1739.36,0.6184,2.83E-06,40,25,25,10,0,0,0,2.330970979
20.79435,21.19983,3846.24,0.83142,6.53E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,6.041626728
16.15375,16.51788,1691.43,0.66724,5.90E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,3.967990269
18.14826,18.49638,1732.61,0.68272,4.36E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,3.075873091
7.26122,8.0558,1381.08,0.58616,7.26E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,3.70451606
6.48996,7.45342,702.761,0.4803,1.83E-06,44.73684211,50,2.631578947,2.631578947,0,0,0,1.283176039
15.35482,15.85081,1728.24,0.66142,2.35E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,2.043513718
35.71819,35.86719,2366.26,0.80666,2.33E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,2.236382152
25.41555,25.64462,2270.49,0.7851,3.37E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,3.06171472
32.79335,33.01596,2559.5,0.83286,3.18E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,2.9947202
9.54557,9.60069,821.238,0.45824,1.88E-06,48.10810811,49.72972973,2.162162162,0,0,0,0,1.575340598
13.11194,13.17228,1032.13,0.51894,2.58E-06,50.24875622,47.76119403,1.990049751,0,0,0,0,2.236735706
10.59437,12.48955,8339.6,0.88504,5.91E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,5.799620392
9.58065,10.43778,8105.77,0.83242,7.00E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,7.136181673
24.61711,29.01327,8684.09,0.94858,7.72E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,7.622567244
10.07551,12.06451,8233.61,0.8788,6.01E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,5.913712373
9.7459,10.65907,8177.69,0.82438,7.26E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,7.377858683
24.10888,28.27167,8780.71,0.94386,7.56E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,7.454372693
8.66317,9.76361,7545.81,0.8085,7.50E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,7.521594733
