PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-1bar (mol/kg)
18.14826,18.49638,1738.56006,0.68262,4.89E-07,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.048875786
7.26129,8.03185,1407.06006,0.58642,3.75E-07,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,0.037292801
6.48972,7.45349,712.04901,0.48016,1.37E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.013991671
15.35492,15.8509,1737.81006,0.65846,4.26E-07,48.93617021,48.93617021,2.127659574,0,0,0,0,0.042189788
35.71819,35.86719,2370,0.80469,9.85E-07,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.099084413
25.41555,25.64462,2274.38989,0.78509,8.53E-07,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.086134158
32.79335,33.01595,2573.55005,0.83225,1.09E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.107468608
9.54557,9.6007,829.42902,0.45714,1.86E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.018501214
13.11194,13.17228,1038.40002,0.51924,2.78E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.028106252
10.59437,12.48237,8330.88965,0.8853,2.01E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.198132086
9.58505,10.43754,8104.58984,0.8307,1.44E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.143831793
24.61711,29.01327,8661.80957,0.94786,4.34E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.432027952
10.07551,12.01945,8231.87988,0.87866,1.91E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.188611091
