PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-0.1 bar (mol/kg)
22.83776,23.86923,6014.09,0.8601,5.68E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,0.056406052
25.24971,25.75548,3913,0.84754,3.03E-06,54.375,36.875,5,0,0,0,3.75,0.0303724
23.81541,24.06097,1831.5,0.72056,1.34E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,0.01356397
32.05739,32.23268,1966.39,0.77422,1.55E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.014821978
16.88399,17.68947,4042.07,0.81256,2.62E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.027339725
38.02857,38.18266,2421.47,0.82272,1.96E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.019507616
38.73241,38.88744,2573.21,0.84332,2.23E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.022142608
37.56498,37.65744,3106.64,0.85454,2.45E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.024279335
26.35383,26.54457,2082.13,0.76606,1.54E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.015506082
25.82277,26.05323,2077.82,0.77472,2.00E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,0.020242929
38.80415,38.87485,2607.72,0.80212,2.48E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.025062944
12.63935,13.00429,1699.8,0.64652,1.48E-06,52,28,12,8,0,0,0,0.014686297
19.01338,19.17626,2119.45,0.73848,1.73E-06,47.5,35,10,7.5,0,0,0,0.017672894
27.09758,27.20545,2190.75,0.78752,1.86E-06,47.5,35,10,5,0,0,2.5,0.018499072
38.96494,39.10948,2611.01,0.83528,2.17E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.021520742
25.97265,26.20447,2379.75,0.76662,1.92E-06,56,40,4,0,0,0,0,0.019463881
21.23186,21.48053,2260.29,0.773,1.68E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.016969933
23.07162,23.97144,5034.96,0.85508,9.49E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,0.093471503
10.6711,11.55953,1045.28,0.57244,2.58E-06,54.54545455,39.39393939,6.060606061,0,0,0,0,0.025911121
18.67205,18.83659,1507.46,0.65308,1.77E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.017830914
8.40705,8.94082,993.066,0.5077,1.83E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,0.018181616
10.55911,10.99477,1241.18,0.55678,1.24E-06,60,30,10,0,0,0,0,0.012523054
6.02452,6.73972,1007.55,0.52324,3.72E-06,50,25,25,0,0,0,0,0.037411277
21.99696,22.25586,1733.44,0.72906,1.84E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.018523312
14.85314,15.16267,1485.39,0.64318,1.54E-06,50,25,8.333333333,16.66666667,0,0,0,0.015541219
15.82205,16.14031,1634.8,0.66114,1.49E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.014796169
19.03653,19.28003,1547.81,0.69218,1.94E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.01916646
